70,San Francisco Caltrain (Townsend at 4th),19,San Francisco,8/23/2013,"37.776617, -122.39526"
31,San Antonio Shopping Center,15,Mountain View,12/31/2013,"37.400443, -122.108338"
62,2nd at Folsom,19,San Francisco,8/22/2013,"37.785299, -122.396236"
74,Steuart at Market,23,San Francisco,8/25/2013,"37.794139, -122.394434"
21,Franklin at Maple,15,Redwood City,8/12/2013,"37.481758, -122.226904"
26,Redwood City Medical Center,15,Redwood City,8/12/2013,"37.487682, -122.223492"
13,St James Park,15,San Jose,8/6/2013,"37.339301, -121.889937"
71,Powell at Post (Union Square),19,San Francisco,8/23/2013,"37.788446, -122.408499"
41,Clay at Battery,15,San Francisco,8/19/2013,"37.795001, -122.39997"
73,Grant Avenue at Columbus Avenue,15,San Francisco,8/21/2013,"37.798522, -122.407245"
75,Mechanics Plaza (Market at Battery),19,San Francisco,8/25/2013,"37.7913, -122.399051"
57,5th at Howard,15,San Francisco,8/21/2013,"37.781752, -122.405127"
6,San Pedro Square,15,San Jose,8/7/2013,"37.336721, -121.894074"
23,San Mateo County Center,15,Redwood City,8/15/2013,"37.487616, -122.229951"
69,San Francisco Caltrain 2 (330 Townsend),23,San Francisco,8/23/2013,"37.7766, -122.39547"
65,Townsend at 7th,15,San Francisco,8/22/2013,"37.771058, -122.402717"
27,Mountain View City Hall,15,Mountain View,8/16/2013,"37.389218, -122.081896"
50,Harry Bridges Plaza (Ferry Building),23,San Francisco,8/20/2013,"37.795392, -122.394203"
37,Cowper at University,11,Palo Alto,8/14/2013,"37.448598, -122.159504"
4,Santa Clara at Almaden,11,San Jose,8/6/2013,"37.333988, -121.894902"
51,Embarcadero at Folsom,19,San Francisco,8/20/2013,"37.791464, -122.391034"
76,Market at 4th,19,San Francisco,8/25/2013,"37.786305, -122.404966"
80,Santa Clara County Civic Center,15,San Jose,12/31/2013,"37.352601, -121.905733"
9,Japantown,15,San Jose,8/5/2013,"37.348742, -121.894715"
84,Ryland Park,15,San Jose,4/9/2014,"37.342725, -121.895617"
56,Beale at Market,19,San Francisco,8/20/2013,"37.792251, -122.397086"
72,Civic Center BART (7th at Market),23,San Francisco,8/23/2013,"37.781039, -122.411748"
32,Castro Street and El Camino Real,11,Mountain View,12/31/2013,"37.385956, -122.083678"
60,Embarcadero at Sansome,15,San Francisco,8/21/2013,"37.80477, -122.403234"
46,Washington at Kearney,15,San Francisco,8/19/2013,"37.795425, -122.404767"
55,Temporary Transbay Terminal (Howard at Beale),23,San Francisco,8/20/2013,"37.789756, -122.394643"
66,South Van Ness at Market,19,San Francisco,8/23/2013,"37.774814, -122.418954"
28,Mountain View Caltrain Station,23,Mountain View,8/15/2013,"37.394358, -122.076713"
45,Commercial at Montgomery,15,San Francisco,8/19/2013,"37.794231, -122.402923"
5,Adobe on Almaden,19,San Jose,8/5/2013,"37.331415, -121.8932"
63,Howard at 2nd,19,San Francisco,8/22/2013,"37.786978, -122.398108"
33,Rengstorff Avenue / California Street,15,Mountain View,8/16/2013,"37.400241, -122.099076"
22,Redwood City Caltrain Station,25,Redwood City,8/15/2013,"37.486078, -122.232089"
14,Arena Green / SAP Center,19,San Jose,8/5/2013,"37.332692, -121.900084"
10,San Jose City Hall,15,San Jose,8/6/2013,"37.337391, -121.886995"
54,Embarcadero at Bryant,15,San Francisco,8/20/2013,"37.787152, -122.388013"
59,Golden Gate at Polk,23,San Francisco,8/21/2013,"37.781332, -122.418603"
35,University and Emerson,11,Palo Alto,8/15/2013,"37.444521, -122.163093"
29,San Antonio Caltrain Station,23,Mountain View,8/15/2013,"37.40694, -122.106758"
39,Powell Street BART,19,San Francisco,8/25/2013,"37.783871, -122.408433"
30,Evelyn Park and Ride,15,Mountain View,8/16/2013,"37.390277, -122.066553"
48,Embarcadero at Vallejo,15,San Francisco,8/19/2013,"37.799953, -122.398525"
58,San Francisco City Hall,19,San Francisco,8/21/2013,"37.77865, -122.418235"
3,San Jose Civic Center,15,San Jose,8/5/2013,"37.330698, -121.888979"
82,Broadway St at Battery St,15,San Francisco,1/22/2014,"37.798541, -122.400862"
16,SJSU - San Salvador at 9th,15,San Jose,8/7/2013,"37.333955, -121.877349"
2,San Jose Diridon Caltrain Station,27,San Jose,8/6/2013,"37.329732, -121.901782"
8,San Salvador at 1st,15,San Jose,8/5/2013,"37.330165, -121.885831"
25,Stanford in Redwood City,15,Redwood City,8/12/2013,"37.48537, -122.203288"
24,Redwood City Public Library,15,Redwood City,8/12/2013,"37.484219, -122.227424"
36,California Ave Caltrain Station,15,Palo Alto,8/14/2013,"37.429082, -122.142805"
47,Post at Kearney,19,San Francisco,8/19/2013,"37.788975, -122.403452"
64,2nd at South Park,15,San Francisco,8/22/2013,"37.782259, -122.392738"
7,Paseo de San Antonio,15,San Jose,8/7/2013,"37.333798, -121.886943"
83,Mezes Park,15,Redwood City,2/20/2014,"37.491269, -122.236234"
12,SJSU 4th at San Carlos,19,San Jose,8/7/2013,"37.332808, -121.883891"
11,MLK Library,19,San Jose,8/6/2013,"37.335885, -121.88566"
77,Market at Sansome,27,San Francisco,8/25/2013,"37.789625, -122.400811"
42,Davis at Jackson,15,San Francisco,8/19/2013,"37.79728, -122.398436"
49,Spear at Folsom,19,San Francisco,8/20/2013,"37.790302, -122.390637"
67,Market at 10th,27,San Francisco,8/23/2013,"37.776619, -122.417385"
34,Palo Alto Caltrain Station,23,Palo Alto,8/14/2013,"37.443988, -122.164759"
68,Yerba Buena Center of the Arts (3rd @ Howard),19,San Francisco,8/23/2013,"37.784878, -122.401014"
61,2nd at Townsend,27,San Francisco,8/22/2013,"37.780526, -122.390288"
38,Park at Olive,15,Palo Alto,8/14/2013,"37.4256839, -122.1377775"
